country,time_zone_1,time_zone_2
Albania,Budapest,GMT+01:00
Armenia,Tbilisi,GMT+04:00
Azerbaijan,Tbilisi,GMT+04:00
Belize,Central Time (US & Canada),GMT-06:00
Benin,West Central Africa,GMT+01:00
Botswana,Pretoria,GMT+02:00
Burkina Faso,UTC,GMT+00:00
Burma,Rangoon,GMT+06:30
Cambodia,Bangkok,GMT+07:00
Cameroon,West Central Africa,GMT+01:00
China,Beijing,GMT+08:00
Colombia,Eastern Time (US & Canada),GMT-05:00
Comoros,Nairobi,GMT+03:00
Costa Rica,Central Time (US & Canada),GMT-06:00
Dominican Republic,Georgetown,GMT-04:00
East Caribbean,Georgetown,GMT-04:00
East Timor,Yakutsk,GMT+09:00
Ecuador,Eastern Time (US & Canada),GMT-05:00
El Salvador,Central Time (US & Canada),GMT-06:00
Ethiopia,Nairobi,GMT+03:00
Fiji,Fiji,GMT+12:00
"Gambia, The",UTC,GMT+00:00
Georgia,Tbilisi,GMT+04:00
Ghana,UTC,GMT+00:00
Guatemala,Central Time (US & Canada),GMT-06:00
Guinea,UTC,GMT+00:00
Guyana,Georgetown,GMT-04:00
Indonesia,Jakarta,GMT+07:00
Jamaica,Eastern Time (US & Canada),GMT-05:00
Jordan,Pretoria,GMT+02:00
Kenya,Nairobi,GMT+03:00
Kosovo,Budapest,GMT+01:00
Kyrgyz Republic,Almaty,GMT+06:00
Lesotho,Pretoria,GMT+02:00
Liberia,UTC,GMT+00:00
Macedonia,Budapest,GMT+01:00
Madagascar,Nairobi,GMT+03:00
Malawi,Pretoria,GMT+02:00
Mali,UTC,GMT+00:00
Mexico,Central Time (US & Canada),GMT-06:00
Micronesia,Guam,GMT+10:00
Moldova,Pretoria,GMT+02:00
Mongolia,Beijing,GMT+08:00
Morocco,UTC,GMT+00:00
Mozambique,Pretoria,GMT+02:00
Namibia,Budapest,GMT+01:00
Nepal,Kathmandu,GMT+05:45
Nicaragua,Central Time (US & Canada),GMT-06:00
Panama,Eastern Time (US & Canada),GMT-05:00
Paraguay,Georgetown,GMT-04:00
Peru,Eastern Time (US & Canada),GMT-05:00
Philippines,Beijing,GMT+08:00
Rwanda,Pretoria,GMT+02:00
Samoa,Samoa,GMT+13:00
Senegal,UTC,GMT+00:00
Sierra Leone,UTC,GMT+00:00
South Africa,Pretoria,GMT+02:00
Swaziland,Pretoria,GMT+02:00
Tanzania,Nairobi,GMT+03:00
Thailand,Bangkok,GMT+07:00
Togo,UTC,GMT+00:00
Tonga,Samoa,GMT+13:00
Uganda,Nairobi,GMT+03:00
Ukraine,Kyiv,GMT+02:00
Vanuatu,Solomon Is.,GMT+11:00
Zambia,Kyiv,GMT+02:00
